evt_restart_syscall,total_events,file,label,evt_rt_sigreturn,evt_wait4,evt_dup3,evt_close,evt_openat,evt_fcntl,evt_rt_sigprocmask,evt_clone,evt_set_tid_address,evt_rt_sigaction,evt_execve,evt_brk,evt_mmap,evt_mprotect,evt_getuid,evt_clock_gettime,evt_ioctl,evt_newfstatat,evt_getdents64,evt_munmap,evt_writev,evt_exit_group,evt_WIFEXITED,evt_write,evt_getpid,evt_getppid,evt_renameat
1.0,1,benign_idle.log,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,101523,benign_loop.log,0,1612.0,3224.0,3224.0,4835.0,3223.0,4835.0,9672.0,1612.0,3224.0,1612.0,1612.0,3224.0,4834.0,3224.0,1612.0,1612.0,6446.0,28998.0,3222.0,3222.0,3222.0,1611.0,1611.0,0.0,0.0,0.0,0.0
0.0,106982,benign_proc.log,0,0.0,0.0,26746.0,26746.0,13373.0,26744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13373.0,0.0,0.0,0.0
0.0,130775,mal_file.log,1,0.0,0.0,32694.0,32694.0,16346.0,32694.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16347.0,0.0,0.0,0.0
0.0,103735,mal_proc.log,1,2306.0,4613.0,4610.0,4610.0,2305.0,4610.0,16141.0,2306.0,4611.0,16136.0,2305.0,4610.0,11525.0,4610.0,2305.0,0.0,0.0,4610.0,0.0,0.0,0.0,2305.0,2302.0,2305.0,2305.0,2305.0,0.0
0.0,102642,mal_rename.log,1,4277.0,8555.0,0.0,0.0,0.0,0.0,25662.0,4277.0,8554.0,4277.0,4277.0,8554.0,4277.0,8554.0,4277.0,0.0,0.0,4277.0,0.0,0.0,0.0,4277.0,4270.0,0.0,0.0,0.0,4277.0
