file,label,dport,pkts,bytes,seq,dur,mean,stddev,sum,min,max,spkts,dpkts,sbytes,dbytes,rate,srate,drate,proto_arp,proto_icmp,proto_ipv6-icmp,proto_proto,proto_tcp,proto_udp
benign_ping_network.pcap,0,3702,24,8400.0,0,7.155527830123901,350.0,364.09458876124125,8400.0,98.0,864.0,24,0,8400.0,0,3.354050262925807,3.354050262925807,0,0,0,0,0,0,1
mal_conn_network.pcap,1,41013,5295,358828.0,0,7.924479007720947,67.76732766761096,32.79609056609971,358828.0,54.0,864.0,5295,0,358828.0,0,668.1827278286681,668.1827278286681,0,0,0,0,0,1,1
mal_scan_network.pcap,1,53,227,20792.0,0,5.825924873352051,91.59471365638768,148.6915604495496,20792.0,54.0,864.0,227,0,20792.0,0,38.96377054882815,38.96377054882815,0,0,0,0,0,1,1
benign_web_network.pcap,0,53,113,20435.0,0,6.400270462036133,180.84070796460176,277.96873431491747,20435.0,54.0,918.0,113,0,20435.0,0,17.655503883823535,17.655503883823535,0,0,0,0,0,1,1
benign_nginx_network.pcap,0,3702,8,6832.0,0,0.9140069484710692,854.0,10.690449676496977,6832.0,844.0,864.0,8,0,6832.0,0,8.752668689644235,8.752668689644235,0,0,0,0,0,0,1
mal_flood_network.pcap,1,58898,2700,354432.0,0,7.935603380203247,131.2711111111111,214.03516204487784,354432.0,54.0,925.0,2700,0,354432.0,0,340.23877840664557,340.23877840664557,0,0,0,0,0,1,1
